Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,DC3-BORDER1,Ethernet49/1,10.3.1.249/31,spine,DC3-SPINE1,Ethernet7/1,10.3.1.248/31
l3leaf,DC3-BORDER1,Ethernet50/1,10.3.1.251/31,spine,DC3-SPINE2,Ethernet7/1,10.3.1.250/31
l3leaf,DC3-BORDER2,Ethernet49/1,10.3.1.253/31,spine,DC3-SPINE1,Ethernet8/1,10.3.1.252/31
l3leaf,DC3-BORDER2,Ethernet50/1,10.3.1.255/31,spine,DC3-SPINE2,Ethernet8/1,10.3.1.254/31
l3leaf,DC3-LEAF1,Ethernet49/1,10.3.0.1/31,spine,DC3-SPINE1,Ethernet1/1,10.3.0.0/31
l3leaf,DC3-LEAF1,Ethernet50/1,10.3.0.3/31,spine,DC3-SPINE2,Ethernet1/1,10.3.0.2/31
l3leaf,DC3-LEAF2,Ethernet49/1,10.3.0.5/31,spine,DC3-SPINE1,Ethernet2/1,10.3.0.4/31
l3leaf,DC3-LEAF2,Ethernet50/1,10.3.0.7/31,spine,DC3-SPINE2,Ethernet2/1,10.3.0.6/31
l3leaf,DC3-LEAF3,Ethernet49/1,10.3.0.9/31,spine,DC3-SPINE1,Ethernet3/1,10.3.0.8/31
l3leaf,DC3-LEAF3,Ethernet50/1,10.3.0.11/31,spine,DC3-SPINE2,Ethernet3/1,10.3.0.10/31
l3leaf,DC3-LEAF4,Ethernet49/1,10.3.0.13/31,spine,DC3-SPINE1,Ethernet4/1,10.3.0.12/31
l3leaf,DC3-LEAF4,Ethernet50/1,10.3.0.15/31,spine,DC3-SPINE2,Ethernet4/1,10.3.0.14/31
